Sno,variables,Type,Trend_Business,Trend_sign
1,TOTAL_KHATAS,Numerical,Decreasing,-1
2,KB_AGE,Numerical,Decreasing,-1
3,TOTAL_CUSTOMERS,Numerical,Decreasing,-1
4,NO_KB_CUSTOMERS,Numerical,Decreasing,-1
5,DAYS_SINCE_FIRST_CUST_ADDED,Numerical,Decreasing,-1
6,DAYS_SINCE_LAST_CUST_ADDED,Numerical,Increasing,1
7,TOTAL_TRXNS,Numerical,Decreasing,-1
8,TOTAL_TXN_MONTHS,Numerical,Decreasing,-1
9,ACTIVE_KHATAS,Numerical,Decreasing,-1
10,ACTIVE_DAYS,Numerical,Decreasing,-1
11,DEBIT_TRXNS,Numerical,Decreasing,-1
12,CREDIT_TRXNS,Numerical,Decreasing,-1
13,DEBIT_AMNT,Numerical,Decreasing,-1
14,CREDIT_AMNT,Numerical,Decreasing,-1
15,TOTAL_TXN_AMNT,Numerical,Decreasing,-1
16,DAYS_SINCE_FIRST_TXN,Numerical,Decreasing,-1
17,DAYS_SINCE_LAST_TXN,Numerical,Increasing,1
18,MONTHS_SINCE_FIRST_TXN,Numerical,Decreasing,-1
19,MONTHS_SINCE_LAST_TXN,Numerical,Increasing,1
20,ACTIVATION_AGE,Numerical,Decreasing,-1
21,D_1_TXNS,Numerical,Decreasing,-1
22,D_30_TXNS,Numerical,Decreasing,-1
23,AVG_TRXNS_CNT_L1MONTH_DAILY,Numerical,Decreasing,-1
24,AVG_TRXNS_CNT_L2MONTH_DAILY,Numerical,Decreasing,-1
25,AVG_TRXNS_CNT_L3MONTH_DAILY,Numerical,Decreasing,-1
26,AVG_TRXNS_CNT_L6MONTH_DAILY,Numerical,Decreasing,-1
27,AVG_TRXNS_CNT_L12MONTH_DAILY,Numerical,Decreasing,-1
28,AVG_TRXNS_AMOUNT_L1MONTH_DAILY,Numerical,Decreasing,-1
29,AVG_TRXNS_AMT_L2MONTH_DAILY,Numerical,Decreasing,-1
30,AVG_TRXNS_AMT_L3MONTH_DAILY,Numerical,Decreasing,-1
31,AVG_TRXNS_AMT_L6MONTH_DAILY,Numerical,Decreasing,-1
32,AVG_TRXNS_AMT_L12MONTH_DAILY,Numerical,Decreasing,-1
33,AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY,Numerical,Decreasing,-1
34,AVG_CREDIT_TRXNS_CNT_L2MONTH_DAILY,Numerical,Decreasing,-1
35,AVG_CREDIT_TRXNS_CNT_L3MONTH_DAILY,Numerical,Decreasing,-1
36,AVG_CREDIT_TRXNS_CNT_L6MONTH_DAILY,Numerical,Decreasing,-1
37,AVG_CREDIT_TRXNS_CNT_L12MONTH_DAILY,Numerical,Decreasing,-1
38,AVG_DEBIT_TRXNS_CNT_L1MONTH_DAILY,Numerical,Decreasing,-1
39,AVG_DEBIT_TRXNS_CNT_L2MONTH_DAILY,Numerical,Decreasing,-1
40,AVG_DEBIT_TRXNS_CNT_L3MONTH_DAILY,Numerical,Decreasing,-1
41,AVG_DEBIT_TRXNS_CNT_L6MONTH_DAILY,Numerical,Decreasing,-1
42,AVG_DEBIT_TRXNS_CNT_L12MONTH_DAILY,Numerical,Decreasing,-1
43,AVG_TRXNS_CNT_L1MONTH_MONTHLY,Numerical,Decreasing,-1
44,AVG_TRXNS_CNT_L2MONTH_MONTHLY,Numerical,Decreasing,-1
45,AVG_TRXNS_CNT_L3MONTH_MONTHLY,Numerical,Decreasing,-1
46,AVG_TRXNS_CNT_L6MONTH_MONTHLY,Numerical,Decreasing,-1
47,AVG_TRXNS_CNT_L12MONTH_MONTHLY,Numerical,Decreasing,-1
48,AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY,Numerical,Decreasing,-1
49,AVG_TRXNS_AMT_L2MONTH_MONTHLY,Numerical,Decreasing,-1
50,AVG_TRXNS_AMT_L3MONTH_MONTHLY,Numerical,Decreasing,-1
51,AVG_TRXNS_AMT_L6MONTH_MONTHLY,Numerical,Decreasing,-1
52,AVG_TRXNS_AMT_L12MONTH_MONTHLY,Numerical,Decreasing,-1
53,AVG_CREDIT_TRXNS_CNT_L1MONTH_MONTHLY,Numerical,Decreasing,-1
54,AVG_CREDIT_TRXNS_CNT_L2MONTH_MONTHLY,Numerical,Decreasing,-1
55,AVG_CREDIT_TRXNS_CNT_L3MONTH_MONTHLY,Numerical,Decreasing,-1
56,AVG_CREDIT_TRXNS_CNT_L6MONTH_MONTHLY,Numerical,Decreasing,-1
57,AVG_CREDIT_TRXNS_CNT_L12MONTH_MONTHLY,Numerical,Decreasing,-1
58,AVG_DEBIT_TRXNS_CNT_L1MONTH_MONTHLY,Numerical,Decreasing,-1
59,AVG_DEBIT_TRXNS_CNT_L2MONTH_MONTHLY,Numerical,Decreasing,-1
60,AVG_DEBIT_TRXNS_CNT_L3MONTH_MONTHLY,Numerical,Decreasing,-1
61,AVG_DEBIT_TRXNS_CNT_L6MONTH_MONTHLY,Numerical,Decreasing,-1
62,AVG_DEBIT_TRXNS_CNT_L12MONTH_MONTHLY,Numerical,Decreasing,-1
63,TOTAL_TRXNS_CNT_3_BY_6,Numerical,Decreasing,-1
64,TOTAL_TRXNS_CNT_3_BY_12,Numerical,Decreasing,-1
65,RATIO_CNT_L1_L3_MNTH_DAILY,Numerical,Decreasing,-1
66,RATIO_AMNT_L1_L3_MNTH_DAILY,Numerical,Decreasing,-1
67,RATIO_CNT_L1_L3_MNTH_MONTHLY,Numerical,Decreasing,-1
68,RATIO_AMNT_L1_L3_MNTH_MONTHLY,Numerical,Decreasing,-1
69,AVG_TRAN_SIZE_1_MNTH_DAILY,Numerical,Decreasing,-1
70,AVG_TRAN_SIZE_2_MNTH_DAILY,Numerical,Decreasing,-1
71,AVG_TRAN_SIZE_3_MNTH_DAILY,Numerical,Decreasing,-1
72,AVG_TRAN_SIZE_1_MNTH_MONTHLY,Numerical,Decreasing,-1
73,AVG_TRAN_SIZE_2_MNTH_MONTHLY,Numerical,Decreasing,-1
74,AVG_TRAN_SIZE_3_MNTH_MONTHLY,Numerical,Decreasing,-1
75,TOTAL_COUNTERPARTY_TRXNS,Numerical,Decreasing,-1
76,TOTAL_COUNTERPARTY_TXN_AMT,Numerical,Decreasing,-1
77,AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_1MNTH_DAILY,Numerical,Decreasing,-1
78,AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_2MNTH_DAILY,Numerical,Decreasing,-1
79,AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_3MNTH_DAILY,Numerical,Decreasing,-1
80,AVG_TXN_AMT_WITH_KB_COUNTERPARTY_USERS_1MNTH_DAILY,Numerical,Decreasing,-1
81,AVG_TXN_AMT_WITH_KB_COUNTERPARTY_USERS_2MNTH_DAILY,Numerical,Decreasing,-1
82,AVG_TXN_AMT_WITH_KB_COUNTERPARTY_USERS_3MNTH_DAILY,Numerical,Decreasing,-1
83,AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_1MNTH_MONTHLY,Numerical,Decreasing,-1
84,AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_2MNTH_MONTHLY,Numerical,Decreasing,-1
85,AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_3MNTH_MONTHLY,Numerical,Decreasing,-1
86,AVG_TXN_AMT_WITH_KB_COUNTERPARTY_USERS_1MNTH_MONTHLY,Numerical,Decreasing,-1
87,AVG_TXN_AMT_WITH_KB_COUNTERPARTY_USERS_2MNTH_MONTHLY,Numerical,Decreasing,-1
88,AVG_TXN_AMT_WITH_KB_COUNTERPARTY_USERS_3MNTH_MONTHLY,Numerical,Decreasing,-1
89,ACTIVE_KB_COUNTERPARTY_USERS,Numerical,Decreasing,-1
90,CREDIT_EXTENDED_TOTAL,Numerical,Decreasing,-1
91,CREDIT_RECOVERED,Numerical,Decreasing,-1
92,AMT_RECOVERED_0TO30,Numerical,Decreasing,-1
93,AMT_RECOVERED_31TO60,Numerical,Decreasing,-1
94,AMT_RECOVERED_61TO90,Numerical,Decreasing,-1
95,PARTIAL_SETTLED_TRXNS,Numerical,Decreasing,-1
96,FULL_SETTLED_TRXNS,Numerical,Decreasing,-1
97,UNSETTLED_TRXNS,Numerical,Increasing,1
98,CREDIT_EXTENDED_3MNTH_AVG_DAILY,Numerical,Decreasing,-1
99,CREDIT_EXTENDED_6MNTH_AVG_DAILY,Numerical,Decreasing,-1
100,CREDIT_EXTENDED_12MNTH_AVG_DAILY,Numerical,Decreasing,-1
101,CREDIT_EXTENDED_OVERALL_AVG_DAILY,Numerical,Decreasing,-1
102,CREDIT_RECOVERED_3MNTH_AVG_DAILY,Numerical,Decreasing,-1
103,CREDIT_RECOVERED_6MNTH_AVG_DAILY,Numerical,Decreasing,-1
104,CREDIT_RECOVERED_12MNTH_AVG_DAILY,Numerical,Decreasing,-1
105,CREDIT_RECOVERED_OVERALL_AVG_DAILY,Numerical,Decreasing,-1
106,AMT_RECOVERED_0TO30_3MNTH_AVG_DAILY,Numerical,Decreasing,-1
107,AMT_RECOVERED_0TO30_6MNTH_AVG_DAILY,Numerical,Decreasing,-1
108,AMT_RECOVERED_0TO30_12MNTH_AVG_DAILY,Numerical,Decreasing,-1
109,AMT_RECOVERED_0TO30_OVERALL_AVG_DAILY,Numerical,Decreasing,-1
110,AMT_RECOVERED_31TO60_3MNTH_AVG_DAILY,Numerical,Decreasing,-1
111,AMT_RECOVERED_31TO60_6MNTH_AVG_DAILY,Numerical,Decreasing,-1
112,AMT_RECOVERED_31TO60_12MNTH_AVG_DAILY,Numerical,Decreasing,-1
113,AMT_RECOVERED_31TO60_OVERALL_AVG_DAILY,Numerical,Decreasing,-1
114,AMT_RECOVERED_61TO90_3MNTH_AVG_DAILY,Numerical,Decreasing,-1
115,AMT_RECOVERED_61TO90_6MNTH_AVG_DAILY,Numerical,Decreasing,-1
116,AMT_RECOVERED_61TO90_12MNTH_AVG_DAILY,Numerical,Decreasing,-1
117,AMT_RECOVERED_61TO90_OVERALL_AVG_DAILY,Numerical,Decreasing,-1
118,PARTIAL_SETTLED_TRXNS_3MNTH_AVG_DAILY,Numerical,Decreasing,-1
119,PARTIAL_SETTLED_TRXNS_6MNTH_AVG_DAILY,Numerical,Decreasing,-1
120,PARTIAL_SETTLED_TRXNS_12MNTH_AVG_DAILY,Numerical,Decreasing,-1
121,PARTIAL_SETTLED_TRXNS_OVERALL_AVG_DAILY,Numerical,Decreasing,-1
122,FULL_SETTLED_TRXNS_3MNTH_AVG_DAILY,Numerical,Decreasing,-1
123,FULL_SETTLED_TRXNS_6MNTH_AVG_DAILY,Numerical,Decreasing,-1
124,FULL_SETTLED_TRXNS_12MNTH_AVG_DAILY,Numerical,Decreasing,-1
125,FULL_SETTLED_TRXNS_OVERALL_AVG_DAILY,Numerical,Decreasing,-1
126,UNSETTLED_TRXNS_3MNTH_AVG_DAILY,Numerical,Increasing,1
127,UNSETTLED_TRXNS_6MNTH_AVG_DAILY,Numerical,Increasing,1
128,UNSETTLED_TRXNS_12MNTH_AVG_DAILY,Numerical,Increasing,1
129,UNSETTLED_TRXNS_OVERALL_AVG_DAILY,Numerical,Increasing,1
130,CREDIT_EXTENDED_3MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
131,CREDIT_EXTENDED_6MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
132,CREDIT_EXTENDED_12MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
133,CREDIT_EXTENDED_OVERALL_AVG_MONTHLY,Numerical,Decreasing,-1
134,CREDIT_RECOVERED_3MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
135,CREDIT_RECOVERED_6MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
136,CREDIT_RECOVERED_12MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
137,CREDIT_RECOVERED_OVERALL_AVG_MONTHLY,Numerical,Decreasing,-1
138,AMT_RECOVERED_0TO30_3MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
139,AMT_RECOVERED_0TO30_6MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
140,AMT_RECOVERED_0TO30_12MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
141,AMT_RECOVERED_0TO30_OVERALL_AVG_MONTHLY,Numerical,Decreasing,-1
142,AMT_RECOVERED_31TO60_3MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
143,AMT_RECOVERED_31TO60_6MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
144,AMT_RECOVERED_31TO60_12MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
145,AMT_RECOVERED_31TO60_OVERALL_AVG_MONTHLY,Numerical,Decreasing,-1
146,AMT_RECOVERED_61TO90_3MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
147,AMT_RECOVERED_61TO90_6MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
148,AMT_RECOVERED_61TO90_12MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
149,AMT_RECOVERED_61TO90_OVERALL_AVG_MONTHLY,Numerical,Decreasing,-1
150,PARTIAL_SETTLED_TRXNS_3MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
151,PARTIAL_SETTLED_TRXNS_6MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
152,PARTIAL_SETTLED_TRXNS_12MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
153,PARTIAL_SETTLED_TRXNS_OVERALL_AVG_MONTHLY,Numerical,Decreasing,-1
154,FULL_SETTLED_TRXNS_3MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
155,FULL_SETTLED_TRXNS_6MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
156,FULL_SETTLED_TRXNS_12MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
157,FULL_SETTLED_TRXNS_OVERALL_AVG_MONTHLY,Numerical,Decreasing,-1
158,UNSETTLED_TRXNS_3MNTH_AVG_MONTHLY,Numerical,Increasing,1
159,UNSETTLED_TRXNS_6MNTH_AVG_MONTHLY,Numerical,Increasing,1
160,UNSETTLED_TRXNS_12MNTH_AVG_MONTHLY,Numerical,Increasing,1
161,UNSETTLED_TRXNS_OVERALL_AVG_MONTHLY,Numerical,Increasing,1
162,CREDIT_EXTENDED_LAST_MONTH_VALUE,Numerical,Decreasing,-1
163,CREDIT_EXTENDED_3_BY_6,Numerical,Decreasing,-1
164,CREDIT_RECOVERED_3_BY_6,Numerical,Decreasing,-1
165,AMT_RECOVERED_0TO30_3_BY_6,Numerical,Decreasing,-1
166,AMT_RECOVERED_31TO60_3_BY_6,Numerical,Decreasing,-1
167,AMT_RECOVERED_61TO90_3_BY_6,Numerical,Decreasing,-1
168,PARTIAL_SETTLED_TRXNS_3_BY_6,Numerical,Decreasing,-1
169,FULL_SETTLED_TRXNS_3_BY_6,Numerical,Decreasing,-1
170,UNSETTLED_TRXNS_3_BY_6,Numerical,Increasing,1
171,CREDIT_EXTENDED_3_BY_12,Numerical,Decreasing,-1
172,CREDIT_RECOVERED_3_BY_12,Numerical,Decreasing,-1
173,AMT_RECOVERED_0TO30_3_BY_12,Numerical,Decreasing,-1
174,AMT_RECOVERED_31TO60_3_BY_12,Numerical,Decreasing,-1
175,AMT_RECOVERED_61TO90_3_BY_12,Numerical,Decreasing,-1
176,PARTIAL_SETTLED_TRXNS_3_BY_12,Numerical,Decreasing,-1
177,FULL_SETTLED_TRXNS_3_BY_12,Numerical,Decreasing,-1
178,UNSETTLED_TRXNS_3_BY_12,Numerical,Increasing,1
179,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_DAILY,Numerical,Decreasing,-1
180,CREDIT_RECOVERY_RATIO_6_MNTH_AVG_DAILY,Numerical,Decreasing,-1
181,CREDIT_RECOVERY_RATIO_12_MNTH_AVG_DAILY,Numerical,Decreasing,-1
182,CREDIT_RECOVERY_RATIO_OVERALL_MNTH_AVG_DAILY,Numerical,Decreasing,-1
183,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
184,CREDIT_RECOVERY_RATIO_6_MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
185,CREDIT_RECOVERY_RATIO_12_MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
186,CREDIT_RECOVERY_RATIO_OVERALL_MNTH_AVG_MONTHLY,Numerical,Decreasing,-1
187,CREDIT_EXTENDED_3MNTH_SUM,Numerical,Decreasing,-1
188,CREDIT_RECOVERED_3MNTH_SUM,Numerical,Decreasing,-1
189,CREDIT_RECOVERY_RATIO_3_MNTH,Numerical,Decreasing,-1
190,CREDIT_EXTENDED_6MNTH_SUM,Numerical,Decreasing,-1
191,CREDIT_RECOVERED_6MNTH_SUM,Numerical,Decreasing,-1
192,CREDIT_RECOVERY_RATIO_6_MNTH,Numerical,Decreasing,-1
193,CREDIT_EXTENDED_12MNTH_SUM,Numerical,Decreasing,-1
194,CREDIT_RECOVERED_12MNTH_SUM,Numerical,Decreasing,-1
195,CREDIT_RECOVERY_RATIO_12_MNTH,Numerical,Decreasing,-1
196,CREDIT_RECOVERY_RATIO_3_BY_6,Numerical,Decreasing,-1
197,CREDIT_RECOVERY_RATIO_3_BY_12,Numerical,Decreasing,-1
